park_id,resource_type,geometry
2543,Drinking Fountain,"c(-79.3765769490939, 43.6224243305976)"
729,Drinking Fountain,"c(-79.3405199122692, 43.7914629276777)"
129,Drinking Fountain,"c(-79.5028828732757, 43.7165964214487)"
685,Drinking Fountain,"c(-79.4415220506486, 43.7856240584659)"
865,Drinking Fountain,"c(-79.4075285513575, 43.7662403090869)"
663,Drinking Fountain,"c(-79.5258409470241, 43.7652220222162)"
2274,Drinking Fountain,"c(-79.4782429147419, 43.7296570560731)"
205,Drinking Fountain,"c(-79.3905223438711, 43.6505419917366)"
68,Drinking Fountain,"c(-79.4156402003632, 43.6548697689845)"
332,Drinking Fountain,"c(-79.4065616516621, 43.6629365363952)"
2710,Drinking Fountain,"c(-79.3551447414912, 43.6555498597884)"
2181,Drinking Fountain,"c(-79.431292767641, 43.7601725602685)"
337,Drinking Fountain,"c(-79.4341192792899, 43.7544480520584)"
28,Drinking Fountain,"c(-79.3627613972242, 43.7230735748667)"
71,Drinking Fountain,"c(-79.4650692910483, 43.6355488884137)"
745,Drinking Fountain,"c(-79.4923288428358, 43.7290410502511)"
71,Drinking Fountain,"c(-79.4610497688238, 43.6367472519489)"
1457,Drinking Fountain,"c(-79.5128353164078, 43.7623715992868)"
338,Drinking Fountain,"c(-79.364755584235, 43.649319164171)"
2543,Drinking Fountain,"c(-79.3732181502104, 43.621637044812)"
540,Drinking Fountain,"c(-79.1400090515946, 43.7806763417143)"
698,Drinking Fountain,"c(-79.3093374046061, 43.8069959212961)"
241,Drinking Fountain,"c(-79.4151576782649, 43.6493656835304)"
241,Dog Fountain,"c(-79.4151576782649, 43.6493656835304)"
865,Drinking Fountain,"c(-79.4040644543493, 43.7632025481248)"
956,Drinking Fountain,"c(-79.4136545243663, 43.7679261007329)"
449,Drinking Fountain,"c(-79.4071692149844, 43.7572353516186)"
11,Drinking Fountain,"c(-79.4638976748888, 43.7799544336404)"
645,Drinking Fountain,"c(-79.561351846848, 43.7525113396301)"
683,Drinking Fountain,"c(-79.5450431200993, 43.7495598342136)"
761,Drinking Fountain,"c(-79.5160321727785, 43.7423082307228)"
798,Drinking Fountain,"c(-79.5864135656906, 43.6503500108831)"
840,Drinking Fountain,"c(-79.58139872334, 43.661613512044)"
873,Drinking Fountain,"c(-79.5594188335949, 43.6636071335105)"
484,Drinking Fountain,"c(-79.4807823563901, 43.7069543546299)"
611,Drinking Fountain,"c(-79.5257687537956, 43.7024166659847)"
1466,Drinking Fountain,"c(-79.4979067526631, 43.6997136897461)"
2523,Drinking Fountain,"c(-79.4924211014386, 43.6869242521422)"
723,Drinking Fountain,"c(-79.5192991429763, 43.7135024407036)"
20,Drinking Fountain,"c(-79.3827903814354, 43.6632272784146)"
2698,Drinking Fountain,"c(-79.3889111593664, 43.67595912476)"
370,Drinking Fountain,"c(-79.3734534320018, 43.6773302720357)"
370,Dog Fountain,"c(-79.3734534320018, 43.6773302720357)"
338,Drinking Fountain,"c(-79.3694142895838, 43.6484460008432)"
440,Drinking Fountain,"c(-79.3852165286797, 43.6687232924659)"
377,Drinking Fountain,"c(-79.3835311627672, 43.6544190763108)"
841,Drinking Fountain,"c(-79.5797464939452, 43.7271691307271)"
874,Drinking Fountain,"c(-79.5420648154462, 43.6874090450926)"
960,Drinking Fountain,"c(-79.5513338167458, 43.6922710452614)"
1923,Drinking Fountain,"c(-79.4935178366302, 43.6554452759664)"
37,Drinking Fountain,"c(-79.4805516924247, 43.6665051278087)"
247,Drinking Fountain,"c(-79.4756635162812, 43.6407853621359)"
536,Drinking Fountain,"c(-79.5567589273992, 43.7453928913091)"
559,Drinking Fountain,"c(-79.5218988708831, 43.7454136359194)"
1104,Drinking Fountain,"c(-79.400035445137, 43.713144513923)"
2370,Drinking Fountain,"c(-79.3264566787057, 43.7750936495654)"
215,Drinking Fountain,"c(-79.3214966114824, 43.7457029372719)"
2440,Drinking Fountain,"c(-79.3677368386552, 43.7847871206614)"
494,Drinking Fountain,"c(-79.3294112226151, 43.7834397535431)"
1748,Drinking Fountain,"c(-79.2419965833328, 43.7052120633468)"
2207,Drinking Fountain,"c(-79.4367085107962, 43.714196758253)"
637,Drinking Fountain,"c(-79.5081868430899, 43.7357697889135)"
2373,Drinking Fountain,"c(-79.451745712054, 43.7062662062145)"
349,Drinking Fountain,"c(-79.5067821712998, 43.7441669726253)"
571,Drinking Fountain,"c(-79.297162690722, 43.73363260032)"
543,Drinking Fountain,"c(-79.2553063666319, 43.7576399045592)"
704,Drinking Fountain,"c(-79.3062193397779, 43.7538708225375)"
2037,Drinking Fountain,"c(-79.2709203229005, 43.7423417884548)"
576,Drinking Fountain,"c(-79.2587117954634, 43.7269921997539)"
19,Drinking Fountain,"c(-79.2558449483235, 43.6968438611131)"
1088,Drinking Fountain,"c(-79.2698213563783, 43.8294286415381)"
1088,Dog Fountain,"c(-79.2698213563783, 43.8294286415381)"
708,Drinking Fountain,"c(-79.2310198746845, 43.8037143958814)"
1707,Drinking Fountain,"c(-79.394255157197, 43.6370460436068)"
2420,Drinking Fountain,"c(-79.3277317908661, 43.6630035982291)"
2420,Dog Fountain,"c(-79.3277317908661, 43.6630035982291)"
2236,Drinking Fountain,"c(-79.3208723317492, 43.6778240656635)"
311,Drinking Fountain,"c(-79.3076300929337, 43.6632116398701)"
195,Drinking Fountain,"c(-79.3869173162285, 43.6678746216852)"
177,Drinking Fountain,"c(-79.3719022958901, 43.6552199283183)"
177,Dog Fountain,"c(-79.3719022958901, 43.6552199283183)"
177,Drinking Fountain,"c(-79.371142732796, 43.6543294158519)"
241,Drinking Fountain,"c(-79.414584800653, 43.6469279165604)"
241,Drinking Fountain,"c(-79.4158591867405, 43.6502283714957)"
284,Drinking Fountain,"c(-79.4521472939652, 43.6641417788384)"
1053,Drinking Fountain,"c(-79.4487396302345, 43.6633075586968)"
87,Drinking Fountain,"c(-79.432267978054, 43.6571012336)"
108,Drinking Fountain,"c(-79.3156614907644, 43.6848887268556)"
107,Drinking Fountain,"c(-79.2980899667468, 43.668513203619)"
107,Drinking Fountain,"c(-79.2996874672292, 43.6695554805853)"
1860,Drinking Fountain,"c(-79.3646042293011, 43.6445489724339)"
772,Drinking Fountain,"c(-79.4372387106711, 43.7076497612437)"
1451,Drinking Fountain,"c(-79.5021211546433, 43.5950620047945)"
1882,Drinking Fountain,"c(-79.556916678115, 43.6042908675409)"
361,Drinking Fountain,"c(-79.4360124958537, 43.670292592234)"
367,Drinking Fountain,"c(-79.4427290817137, 43.6708158472262)"
2006,Drinking Fountain,"c(-79.5184195122032, 43.6878420179057)"
150,Drinking Fountain,"c(-79.4836125534217, 43.7204192749493)"
442,Drinking Fountain,"c(-79.3630596467821, 43.6495233124101)"
313,Drinking Fountain,"c(-79.3884151250464, 43.6811981825511)"
313,Dog Fountain,"c(-79.3884151250464, 43.6811981825511)"
72,Drinking Fountain,"c(-79.4199286128695, 43.6536796045602)"
291,Drinking Fountain,"c(-79.4130835634675, 43.659374576725)"
150,Drinking Fountain,"c(-79.4009686827261, 43.6497317446278)"
224,Drinking Fountain,"c(-79.4263153861606, 43.6628296728007)"
455,Drinking Fountain,"c(-79.4134160375633, 43.6414432213448)"
455,Dog Fountain,"c(-79.4134160375633, 43.6414432213448)"
1084,Drinking Fountain,"c(-79.4146067541861, 43.6387889668123)"
1084,Dog Fountain,"c(-79.4146067541861, 43.6387889668123)"
212,Drinking Fountain,"c(-79.409656893352, 43.6427880730558)"
227,Drinking Fountain,"c(-79.3982621228935, 43.6697825760025)"
255,Drinking Fountain,"c(-79.4005034045164, 43.6423204566981)"
1707,Drinking Fountain,"c(-79.3926824743086, 43.6369444556832)"
211,Bottle Filling Station,"c(-79.4348868910826, 43.6370474673517)"
11,Drinking Fountain,"c(-79.4675238317778, 43.7793291299424)"
1079,Drinking Fountain,"c(-79.1622421517215, 43.7601414399241)"
2732,Drinking Fountain,"c(-79.3494742481781, 43.6782184295163)"
1476,Drinking Fountain,"c(-79.4037849527891, 43.7396421307556)"
238,Drinking Fountain,"c(-79.3819296998415, 43.6545412741266)"
335,Drinking Fountain,"c(-79.4529962464524, 43.6374481245245)"
